Name,Gender,Year,Season,Type,Brand,Agencies,Photographers
Karen Mulder,F,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Karen Mulder,F,1992,fall,ready-to-wear,versace,,Condé Nast Archive
Karen Mulder,F,1994,spring,ready-to-wear,chanel,,
Karen Mulder,F,1993,spring,ready-to-wear,prada,,Condé Nast Archive
Karen Mulder,F,1993,spring,ready-to-wear,anna-sui,,Condé  Nast Archive
Karen Mulder,F,1992,spring,ready-to-wear,prada,,"Condé Nast Archive,Courtesy Of Prada"
Karen Mulder,F,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Laetitia Casta,F,1994,spring,ready-to-wear,jean-paul-gaultier,IMG LONDON,Condé Nast Archive
Claudia Mason,F,1994,spring,ready-to-wear,chanel,,
Claudia Mason,F,1993,spring,ready-to-wear,prada,,"Condé Nast Archive,Courtesy Of Prada"
Claudia Mason,F,1993,spring,ready-to-wear,anna-sui,,Condé  Nast Archive
Claudia Mason,F,1993,spring,ready-to-wear,john-galliano,,Condé Nast Archive
Claudia Mason,F,1992,spring,ready-to-wear,prada,,Condé Nast Archive
Brandi Quinones,F,1994,spring,ready-to-wear,chanel,,
Brandi Quinones,F,1994,spring,ready-to-wear,jean-paul-gaultier,,Condé Nast Archive
Tyra Banks,,1993,spring,ready-to-wear,perry-ellis,,Condé  Nast Archive
Elaine Irwin,F,1992,spring,ready-to-wear,prada,,"Condé Nast Archive,Courtesy Of Prada"
Elaine Irwin,F,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Kate Moss,,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Kate Moss,,1994,spring,ready-to-wear,prada,,"Condé Nast Archive,Courtesy Of Prada"
Kate Moss,,1994,spring,ready-to-wear,anna-sui,,Condé Nast Archive
Kate Moss,,1993,spring,ready-to-wear,john-galliano,,Condé Nast Archive
Kate Moss,,1993,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Kate Moss,,1993,spring,ready-to-wear,prada,,"Condé Nast Archive,Courtesy Of Prada"
Kate Moss,,1993,spring,ready-to-wear,anna-sui,,Condé  Nast Archive
Kate Moss,,1993,spring,ready-to-wear,perry-ellis,,Condé  Nast Archive
Kate Moss,,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Kate Moss,,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Kate Moss,,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Kate Moss,,1993,spring,ready-to-wear,maison-martin-margiela,,Condé Nast Archive
Kate Moss,,1994,spring,ready-to-wear,chanel,,
Kate Moss,,1994,spring,ready-to-wear,calvin-klein-collection,,
Kate Moss,,1994,fall,ready-to-wear,john-galliano,,Guy Marineau
Tracee Ellis Ross,,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Thierry Mugler,M,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Connie Fleming,F,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Sky Nellor,,1993,spring,ready-to-wear,christian-francis-roth,,
Honor Fraser,F,1994,spring,ready-to-wear,prada,,Condé Nast Archive
Honor Fraser,F,1994,spring,ready-to-wear,anna-sui,,Condé Nast Archive
Claudia Schiffer,,1994,spring,ready-to-wear,chanel,,
Claudia Schiffer,,1992,fall,ready-to-wear,versace,,Condé Nast Archive
Cindy Crawford,,1994,spring,ready-to-wear,chanel,,
Stella Tennant,F,1994,fall,ready-to-wear,comme-des-garcons,"VIVA,DNA",Condé Nast Archive
Stella Tennant,F,1994,spring,ready-to-wear,jean-paul-gaultier,"VIVA,DNA",Condé Nast Archive
Stella Tennant,F,1994,spring,ready-to-wear,chanel,"VIVA,DNA",
Stella Tennant,F,1994,spring,ready-to-wear,anna-sui,"VIVA,DNA","Courtesy Of Anna Sui,Condé Nast Archive"
Stella Tennant,F,1994,fall,ready-to-wear,helmut-lang,"VIVA,DNA",Condé Nast Archive
Ivana Trump,,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Susie Bick,,1993,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Beverly Peele,F,1992,fall,ready-to-wear,versace,,Condé Nast Archive
